,Pclass,Age,SibSp,Parch,0,1,2,3,4,AgeBin_Code,FamilySize,isAlone
0,3,22.0,1,0,0.0,1.0,0.0,0.0,1.0,1,1,False
1,1,38.0,1,0,1.0,0.0,1.0,0.0,0.0,2,1,False
2,3,26.0,0,0,1.0,0.0,0.0,0.0,1.0,1,0,True
3,1,35.0,1,0,1.0,0.0,0.0,0.0,1.0,2,1,False
4,3,35.0,0,0,0.0,1.0,0.0,0.0,1.0,2,0,True
5,3,32.368090452261306,0,0,0.0,1.0,0.0,1.0,0.0,1,0,True
6,1,54.0,0,0,0.0,1.0,0.0,0.0,1.0,3,0,True
7,3,2.0,3,1,0.0,1.0,0.0,0.0,1.0,0,4,False
8,3,27.0,0,2,1.0,0.0,0.0,0.0,1.0,1,2,False
9,2,14.0,1,0,1.0,0.0,1.0,0.0,0.0,0,1,False
10,3,4.0,1,1,1.0,0.0,0.0,0.0,1.0,0,2,False
11,1,58.0,0,0,1.0,0.0,0.0,0.0,1.0,3,0,True
12,3,20.0,0,0,0.0,1.0,0.0,0.0,1.0,1,0,True
13,3,39.0,1,5,0.0,1.0,0.0,0.0,1.0,2,6,False
14,3,14.0,0,0,1.0,0.0,0.0,0.0,1.0,0,0,True
15,2,55.0,0,0,1.0,0.0,0.0,0.0,1.0,3,0,True
16,3,2.0,4,1,0.0,1.0,0.0,1.0,0.0,0,5,False
17,2,32.368090452261306,0,0,0.0,1.0,0.0,0.0,1.0,1,0,True
18,3,31.0,1,0,1.0,0.0,0.0,0.0,1.0,1,1,False
19,3,35.898148148148145,0,0,1.0,0.0,1.0,0.0,0.0,2,0,True
20,2,35.0,0,0,0.0,1.0,0.0,0.0,1.0,2,0,True
21,2,34.0,0,0,0.0,1.0,0.0,0.0,1.0,2,0,True
22,3,15.0,0,0,1.0,0.0,0.0,1.0,0.0,0,0,True
23,1,28.0,0,0,0.0,1.0,0.0,0.0,1.0,1,0,True
24,3,8.0,3,1,1.0,0.0,0.0,0.0,1.0,0,4,False
25,3,38.0,1,5,1.0,0.0,0.0,0.0,1.0,2,6,False
26,3,32.368090452261306,0,0,0.0,1.0,1.0,0.0,0.0,1,0,True
27,1,19.0,3,2,0.0,1.0,0.0,0.0,1.0,1,5,False
28,3,21.773972602739725,0,0,1.0,0.0,0.0,1.0,0.0,1,0,True
29,3,32.368090452261306,0,0,0.0,1.0,0.0,0.0,1.0,1,0,True
30,1,40.0,0,0,0.0,1.0,1.0,0.0,0.0,2,0,True
31,1,35.898148148148145,1,0,1.0,0.0,1.0,0.0,0.0,2,1,False
32,3,21.773972602739725,0,0,1.0,0.0,0.0,1.0,0.0,1,0,True
33,2,66.0,0,0,0.0,1.0,0.0,0.0,1.0,4,0,True
34,1,28.0,1,0,0.0,1.0,1.0,0.0,0.0,1,1,False
35,1,42.0,1,0,0.0,1.0,0.0,0.0,1.0,2,1,False
36,3,32.368090452261306,0,0,0.0,1.0,1.0,0.0,0.0,1,0,True
37,3,21.0,0,0,0.0,1.0,0.0,0.0,1.0,1,0,True
38,3,18.0,2,0,1.0,0.0,0.0,0.0,1.0,1,2,False
39,3,14.0,1,0,1.0,0.0,1.0,0.0,0.0,0,1,False
40,3,40.0,1,0,1.0,0.0,0.0,0.0,1.0,2,1,False
41,2,27.0,1,0,1.0,0.0,0.0,0.0,1.0,1,1,False
42,3,32.368090452261306,0,0,0.0,1.0,1.0,0.0,0.0,1,0,True
43,2,3.0,1,2,1.0,0.0,1.0,0.0,0.0,0,3,False
44,3,19.0,0,0,1.0,0.0,0.0,1.0,0.0,1,0,True
45,3,32.368090452261306,0,0,0.0,1.0,0.0,0.0,1.0,1,0,True
46,3,32.368090452261306,1,0,0.0,1.0,0.0,1.0,0.0,1,1,False
47,3,21.773972602739725,0,0,1.0,0.0,0.0,1.0,0.0,1,0,True
48,3,32.368090452261306,2,0,0.0,1.0,1.0,0.0,0.0,1,2,False
49,3,18.0,1,0,1.0,0.0,0.0,0.0,1.0,1,1,False
50,3,7.0,4,1,0.0,1.0,0.0,0.0,1.0,0,5,False
51,3,21.0,0,0,0.0,1.0,0.0,0.0,1.0,1,0,True
52,1,49.0,1,0,1.0,0.0,1.0,0.0,0.0,3,1,False
53,2,29.0,1,0,1.0,0.0,0.0,0.0,1.0,1,1,False
54,1,65.0,0,1,0.0,1.0,1.0,0.0,0.0,4,1,False
55,1,32.368090452261306,0,0,0.0,1.0,0.0,0.0,1.0,1,0,True
56,2,21.0,0,0,1.0,0.0,0.0,0.0,1.0,1,0,True
57,3,28.5,0,0,0.0,1.0,1.0,0.0,0.0,1,0,True
58,2,5.0,1,2,1.0,0.0,0.0,0.0,1.0,0,3,False
59,3,11.0,5,2,0.0,1.0,0.0,0.0,1.0,0,7,False
60,3,22.0,0,0,0.0,1.0,1.0,0.0,0.0,1,0,True
61,1,38.0,0,0,1.0,0.0,0.0,0.0,1.0,2,0,True
62,1,45.0,1,0,0.0,1.0,0.0,0.0,1.0,2,1,False
63,3,4.0,3,2,0.0,1.0,0.0,0.0,1.0,0,5,False
64,1,32.368090452261306,0,0,0.0,1.0,1.0,0.0,0.0,1,0,True
65,3,4.574166666666667,1,1,0.0,1.0,1.0,0.0,0.0,0,2,False
66,2,29.0,0,0,1.0,0.0,0.0,0.0,1.0,1,0,True
67,3,19.0,0,0,0.0,1.0,0.0,0.0,1.0,1,0,True
68,3,17.0,4,2,1.0,0.0,0.0,0.0,1.0,1,6,False
69,3,26.0,2,0,0.0,1.0,0.0,0.0,1.0,1,2,False
70,2,32.0,0,0,0.0,1.0,0.0,0.0,1.0,1,0,True
71,3,16.0,5,2,1.0,0.0,0.0,0.0,1.0,0,7,False
72,2,21.0,0,0,0.0,1.0,0.0,0.0,1.0,1,0,True
73,3,26.0,1,0,0.0,1.0,1.0,0.0,0.0,1,1,False
74,3,32.0,0,0,0.0,1.0,0.0,0.0,1.0,1,0,True
75,3,25.0,0,0,0.0,1.0,0.0,0.0,1.0,1,0,True
76,3,32.368090452261306,0,0,0.0,1.0,0.0,0.0,1.0,1,0,True
77,3,32.368090452261306,0,0,0.0,1.0,0.0,0.0,1.0,1,0,True
78,2,0.83,0,2,0.0,1.0,0.0,0.0,1.0,0,2,False
79,3,30.0,0,0,1.0,0.0,0.0,0.0,1.0,1,0,True
80,3,22.0,0,0,0.0,1.0,0.0,0.0,1.0,1,0,True
81,3,29.0,0,0,0.0,1.0,0.0,0.0,1.0,1,0,True
82,3,21.773972602739725,0,0,1.0,0.0,0.0,1.0,0.0,1,0,True
83,1,28.0,0,0,0.0,1.0,0.0,0.0,1.0,1,0,True
84,2,17.0,0,0,1.0,0.0,0.0,0.0,1.0,1,0,True
85,3,33.0,3,0,1.0,0.0,0.0,0.0,1.0,2,3,False
86,3,16.0,1,3,0.0,1.0,0.0,0.0,1.0,0,4,False
87,3,32.368090452261306,0,0,0.0,1.0,0.0,0.0,1.0,1,0,True
88,1,23.0,3,2,1.0,0.0,0.0,0.0,1.0,1,5,False
89,3,24.0,0,0,0.0,1.0,0.0,0.0,1.0,1,0,True
90,3,29.0,0,0,0.0,1.0,0.0,0.0,1.0,1,0,True
91,3,20.0,0,0,0.0,1.0,0.0,0.0,1.0,1,0,True
92,1,46.0,1,0,0.0,1.0,0.0,0.0,1.0,2,1,False
93,3,26.0,1,2,0.0,1.0,0.0,0.0,1.0,1,3,False
94,3,59.0,0,0,0.0,1.0,0.0,0.0,1.0,3,0,True
95,3,32.368090452261306,0,0,0.0,1.0,0.0,0.0,1.0,1,0,True
96,1,71.0,0,0,0.0,1.0,1.0,0.0,0.0,4,0,True
97,1,23.0,0,1,0.0,1.0,1.0,0.0,0.0,1,1,False
98,2,34.0,0,1,1.0,0.0,0.0,0.0,1.0,2,1,False
99,2,34.0,1,0,0.0,1.0,0.0,0.0,1.0,2,1,False
100,3,28.0,0,0,1.0,0.0,0.0,0.0,1.0,1,0,True
101,3,32.368090452261306,0,0,0.0,1.0,0.0,0.0,1.0,1,0,True
102,1,21.0,0,1,0.0,1.0,0.0,0.0,1.0,1,1,False
103,3,33.0,0,0,0.0,1.0,0.0,0.0,1.0,2,0,True
104,3,37.0,2,0,0.0,1.0,0.0,0.0,1.0,2,2,False
105,3,28.0,0,0,0.0,1.0,0.0,0.0,1.0,1,0,True
106,3,21.0,0,0,1.0,0.0,0.0,0.0,1.0,1,0,True
107,3,32.368090452261306,0,0,0.0,1.0,0.0,0.0,1.0,1,0,True
108,3,38.0,0,0,0.0,1.0,0.0,0.0,1.0,2,0,True
109,3,21.773972602739725,1,0,1.0,0.0,0.0,1.0,0.0,1,1,False
110,1,47.0,0,0,0.0,1.0,0.0,0.0,1.0,2,0,True
111,3,14.5,1,0,1.0,0.0,1.0,0.0,0.0,0,1,False
112,3,22.0,0,0,0.0,1.0,0.0,0.0,1.0,1,0,True
113,3,20.0,1,0,1.0,0.0,0.0,0.0,1.0,1,1,False
114,3,17.0,0,0,1.0,0.0,1.0,0.0,0.0,1,0,True
115,3,21.0,0,0,0.0,1.0,0.0,0.0,1.0,1,0,True
116,3,70.5,0,0,0.0,1.0,0.0,1.0,0.0,4,0,True
117,2,29.0,1,0,0.0,1.0,0.0,0.0,1.0,1,1,False
118,1,24.0,0,1,0.0,1.0,1.0,0.0,0.0,1,1,False
119,3,2.0,4,2,1.0,0.0,0.0,0.0,1.0,0,6,False
120,2,21.0,2,0,0.0,1.0,0.0,0.0,1.0,1,2,False
121,3,32.368090452261306,0,0,0.0,1.0,0.0,0.0,1.0,1,0,True
122,2,32.5,1,0,0.0,1.0,1.0,0.0,0.0,1,1,False
123,2,32.5,0,0,1.0,0.0,0.0,0.0,1.0,1,0,True
124,1,54.0,0,1,0.0,1.0,0.0,0.0,1.0,3,1,False
125,3,12.0,1,0,0.0,1.0,1.0,0.0,0.0,0,1,False
126,3,32.368090452261306,0,0,0.0,1.0,0.0,1.0,0.0,1,0,True
127,3,24.0,0,0,0.0,1.0,0.0,0.0,1.0,1,0,True
128,3,21.773972602739725,1,1,1.0,0.0,1.0,0.0,0.0,1,2,False
129,3,45.0,0,0,0.0,1.0,0.0,0.0,1.0,2,0,True
130,3,33.0,0,0,0.0,1.0,1.0,0.0,0.0,2,0,True
131,3,20.0,0,0,0.0,1.0,0.0,0.0,1.0,1,0,True
132,3,47.0,1,0,1.0,0.0,0.0,0.0,1.0,2,1,False
133,2,29.0,1,0,1.0,0.0,0.0,0.0,1.0,1,1,False
134,2,25.0,0,0,0.0,1.0,0.0,0.0,1.0,1,0,True
135,2,23.0,0,0,0.0,1.0,1.0,0.0,0.0,1,0,True
136,1,19.0,0,2,1.0,0.0,0.0,0.0,1.0,1,2,False
137,1,37.0,1,0,0.0,1.0,0.0,0.0,1.0,2,1,False
138,3,16.0,0,0,0.0,1.0,0.0,0.0,1.0,0,0,True
139,1,24.0,0,0,0.0,1.0,1.0,0.0,0.0,1,0,True
140,3,35.898148148148145,0,2,1.0,0.0,1.0,0.0,0.0,2,2,False
141,3,22.0,0,0,1.0,0.0,0.0,0.0,1.0,1,0,True
142,3,24.0,1,0,1.0,0.0,0.0,0.0,1.0,1,1,False
143,3,19.0,0,0,0.0,1.0,0.0,1.0,0.0,1,0,True
144,2,18.0,0,0,0.0,1.0,0.0,0.0,1.0,1,0,True
145,2,19.0,1,1,0.0,1.0,0.0,0.0,1.0,1,2,False
146,3,27.0,0,0,0.0,1.0,0.0,0.0,1.0,1,0,True
147,3,9.0,2,2,1.0,0.0,0.0,0.0,1.0,0,4,False
148,2,36.5,0,2,0.0,1.0,0.0,0.0,1.0,2,2,False
149,2,42.0,0,0,0.0,1.0,0.0,0.0,1.0,2,0,True
150,2,51.0,0,0,0.0,1.0,0.0,0.0,1.0,3,0,True
151,1,22.0,1,0,1.0,0.0,0.0,0.0,1.0,1,1,False
152,3,55.5,0,0,0.0,1.0,0.0,0.0,1.0,3,0,True
153,3,40.5,0,2,0.0,1.0,0.0,0.0,1.0,2,2,False
154,3,32.368090452261306,0,0,0.0,1.0,0.0,0.0,1.0,1,0,True
155,1,51.0,0,1,0.0,1.0,1.0,0.0,0.0,3,1,False
156,3,16.0,0,0,1.0,0.0,0.0,1.0,0.0,0,0,True
157,3,30.0,0,0,0.0,1.0,0.0,0.0,1.0,1,0,True
158,3,32.368090452261306,0,0,0.0,1.0,0.0,0.0,1.0,1,0,True
159,3,4.574166666666667,8,2,0.0,1.0,0.0,0.0,1.0,0,10,False
160,3,44.0,0,1,0.0,1.0,0.0,0.0,1.0,2,1,False
161,2,40.0,0,0,1.0,0.0,0.0,0.0,1.0,2,0,True
162,3,26.0,0,0,0.0,1.0,0.0,0.0,1.0,1,0,True
163,3,17.0,0,0,0.0,1.0,0.0,0.0,1.0,1,0,True
164,3,1.0,4,1,0.0,1.0,0.0,0.0,1.0,0,5,False
165,3,9.0,0,2,0.0,1.0,0.0,0.0,1.0,0,2,False
166,1,35.898148148148145,0,1,1.0,0.0,0.0,0.0,1.0,2,1,False
167,3,45.0,1,4,1.0,0.0,0.0,0.0,1.0,2,5,False
168,1,32.368090452261306,0,0,0.0,1.0,0.0,0.0,1.0,1,0,True
169,3,28.0,0,0,0.0,1.0,0.0,0.0,1.0,1,0,True
170,1,61.0,0,0,0.0,1.0,0.0,0.0,1.0,3,0,True
171,3,4.0,4,1,0.0,1.0,0.0,1.0,0.0,0,5,False
172,3,1.0,1,1,1.0,0.0,0.0,0.0,1.0,0,2,False
173,3,21.0,0,0,0.0,1.0,0.0,0.0,1.0,1,0,True
174,1,56.0,0,0,0.0,1.0,1.0,0.0,0.0,3,0,True
175,3,18.0,1,1,0.0,1.0,0.0,0.0,1.0,1,2,False
176,3,4.574166666666667,3,1,0.0,1.0,0.0,0.0,1.0,0,4,False
177,1,50.0,0,0,1.0,0.0,1.0,0.0,0.0,3,0,True
178,2,30.0,0,0,0.0,1.0,0.0,0.0,1.0,1,0,True
179,3,36.0,0,0,0.0,1.0,0.0,0.0,1.0,2,0,True
180,3,21.773972602739725,8,2,1.0,0.0,0.0,0.0,1.0,1,10,False
181,2,32.368090452261306,0,0,0.0,1.0,1.0,0.0,0.0,1,0,True
182,3,9.0,4,2,0.0,1.0,0.0,0.0,1.0,0,6,False
183,2,1.0,2,1,0.0,1.0,0.0,0.0,1.0,0,3,False
184,3,4.0,0,2,1.0,0.0,0.0,0.0,1.0,0,2,False
185,1,32.368090452261306,0,0,0.0,1.0,0.0,0.0,1.0,1,0,True
186,3,35.898148148148145,1,0,1.0,0.0,0.0,1.0,0.0,2,1,False
187,1,45.0,0,0,0.0,1.0,0.0,0.0,1.0,2,0,True
188,3,40.0,1,1,0.0,1.0,0.0,1.0,0.0,2,2,False
189,3,36.0,0,0,0.0,1.0,0.0,0.0,1.0,2,0,True
190,2,32.0,0,0,1.0,0.0,0.0,0.0,1.0,1,0,True
191,2,19.0,0,0,0.0,1.0,0.0,0.0,1.0,1,0,True
192,3,19.0,1,0,1.0,0.0,0.0,0.0,1.0,1,1,False
193,2,3.0,1,1,0.0,1.0,0.0,0.0,1.0,0,2,False
194,1,44.0,0,0,1.0,0.0,1.0,0.0,0.0,2,0,True
195,1,58.0,0,0,1.0,0.0,1.0,0.0,0.0,3,0,True
196,3,32.368090452261306,0,0,0.0,1.0,0.0,1.0,0.0,1,0,True
197,3,42.0,0,1,0.0,1.0,0.0,0.0,1.0,2,1,False
198,3,21.773972602739725,0,0,1.0,0.0,0.0,1.0,0.0,1,0,True
199,2,24.0,0,0,1.0,0.0,0.0,0.0,1.0,1,0,True
200,3,28.0,0,0,0.0,1.0,0.0,0.0,1.0,1,0,True
201,3,32.368090452261306,8,2,0.0,1.0,0.0,0.0,1.0,1,10,False
202,3,34.0,0,0,0.0,1.0,0.0,0.0,1.0,2,0,True
203,3,45.5,0,0,0.0,1.0,1.0,0.0,0.0,2,0,True
204,3,18.0,0,0,0.0,1.0,0.0,0.0,1.0,1,0,True
205,3,2.0,0,1,1.0,0.0,0.0,0.0,1.0,0,1,False
206,3,32.0,1,0,0.0,1.0,0.0,0.0,1.0,1,1,False
207,3,26.0,0,0,0.0,1.0,1.0,0.0,0.0,1,0,True
208,3,16.0,0,0,1.0,0.0,0.0,1.0,0.0,0,0,True
209,1,40.0,0,0,0.0,1.0,1.0,0.0,0.0,2,0,True
210,3,24.0,0,0,0.0,1.0,0.0,0.0,1.0,1,0,True
211,2,35.0,0,0,1.0,0.0,0.0,0.0,1.0,2,0,True
212,3,22.0,0,0,0.0,1.0,0.0,0.0,1.0,1,0,True
213,2,30.0,0,0,0.0,1.0,0.0,0.0,1.0,1,0,True
